Bean,2,14,32,5.5,6.5,300,500,VL,VL,VL
Blackgram,2,23,35,5,7,500,700,VL,VL,VL
Bottle Gourd,2,24,27,6.5,7.5,400,650,VL,VL,VL
Lady Finger,2,20,35,6,7,800,1200,VL,VL,VL
Moong(Green Gram),2,20,40,6.2,7.2,600,900,VL,VL,VL
Raddish,2,10,30,6,7.5,500,1000,VL,VL,VL
Bajra,3,18,30,3,8,350,750,VL,VL,VL
Brinjal,3,15,32,5.5,6.5,600,1000,VL,VL,VL
Chillies,3,18,40,5.5,7,625,1500,VL,VL,VL
Coriander,3,15,30,7,10,750,1000,VL,VL,VL
Groundnut,3,20,35,5,7,500,750,VL,VL,VL
Guar seed,3,25,35,7,8,100,300,VL,VL,VL
Jowar,3,18,32,6,7.5,400,1000,VL,VL,VL
Lentil,3,15,25,6,8,500,750,VL,VL,VL
Moth,3,24,34,4,9,450,750,VL,VL,VL
Peas & beans (Pulses),3,15,30,6,7.5,300,600,VL,VL,VL
Potato,3,14,25,5.2,6.4,300,600,VL,VL,VL
Urad,3,25,35,5.5,7.5,600,1000,VL,VL,VL
Wheat,3,20,33,5,7,600,900,VL,VL,VL
Banana,4,15,35,6.5,8.5,450,750,VL,VL,VL
Barley,4,12,32,3,8,800,1100,VL,VL,VL
Cabbage,4,12,30,5.5,6.5,300,600,VL,VL,VL
Carrot,4,7,23,5.5,7,750,1000,VL,VL,VL
Cauliflower,4,12,30,6,7,100,300,VL,VL,VL
Cotton,4,15,35,6,8,500,1100,VL,VL,VL
Drum Stick,4,20,30,6,7,750,2000,VL,VL,VL
Garlic,4,10,30,6,7,500,800,VL,VL,VL
Gram,4,20,30,5,7,600,900,VL,VL,VL
Grapes,4,15,35,6.5,8.5,650,850,VL,VL,VL
Jute,4,24,38,6,7.5,200,600,VL,VL,VL
Khesari,4,10,25,6,8,400,700,VL,VL,VL
Mesta,4,20,35,4.5,7.8,600,900,VL,VL,VL
Onion,4,18,30,6,7.5,500,800,VL,VL,VL
Orange,4,15,30,6,8,400,700,VL,VL,VL
Ragi,4,20,30,5,7,700,1200,VL,VL,VL
Safflower,4,15,35,5,8,600,1000,VL,VL,VL
Sesamum,4,20,35,5.5,8,500,800,VL,VL,VL
Soyabean,4,22,35,6,7,450,700,VL,VL,VL
Sunflower,4,20,37,6,7.5,400,700,VL,VL,VL
Tomato,4,13,32,5.5,7.5,400,600,VL,VL,VL
Varagu,4,20,35,5.5,6.5,1500,1800,VL,VL,VL
Cowpea,5,22,35,5,7,700,1100,VL,VL,VL
Linseed,5,10,27,5,7,450,750,VL,VL,VL
Rice,5,16,30,5,9,1000,2000,VL,VL,VL
Sannhamp,5,20,35,5.5,7,400,1000,VL,VL,VL
Sweet potato,5,15,30,5.5,6.5,750,1500,VL,VL,VL
Tapioca,5,22,35,5,7,700,1500,VL,VL,VL
Black pepper,6,23,33,5.5,6.5,2000,2500,VL,VL,VL
Castor seed,6,20,30,5,8.5,500,800,VL,VL,VL
Horse-gram,6,20,30,4.5,8.2,500,1000,VL,VL,VL
Maize,6,21,35,5.5,7.5,500,1000,VL,VL,VL
Cardamom,8,18,35,4.5,7,1500,4000,VL,VL,VL
Ginger,8,15,35,5,7,1200,1800,VL,VL,VL
Turmeric,8,15,35,4.5,7.5,1500,2000,VL,VL,VL
Papaya,12,20,30,6,7,1500,2500,VL,VL,VL
Sugarcane,12,25,38,5,8.5,900,1800,VL,VL,VL
Pineapple,16,20,32,4.5,6.5,2000,3000,VL,VL,VL
Cashewnut,24,20,30,5.5,7,1000,2000,VL,VL,VL
Tea,36,16,32,4,6,1200,2500,VL,VL,VL
Arecanut,60,10,40,5.5,6.5,750,4500,VH,VH,VH
Coconut,60,20,40,5,8,1500,3500,VL,VL,VL
Lemon,60,20,25,5.5,6.5,700,2000,VL,VL,VL
